Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
32369798,01/08/2016 10:27:00 AM,01/08/2016 12:00:00 PM,DSNY,BCC - Brooklyn North,Derelict Vehicles,14 Derelict Vehicles,Street,11208,3467 ATLANTIC AVENUE,ATLANTIC AVENUE,LINCOLN AVENUE,NICHOLS AVENUE,,,ADDRESS,BROOKLYN,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,01/08/2016 10:27:00 AM,05 BROOKLYN,3041500061,BROOKLYN,1020633,187949,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68247858140108,-73.86882088350559,"(40.68247858140108, -73.86882088350559)"
32369799,01/08/2016 06:44:19 AM,01/11/2016 01:00:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10468,2805 DR M L KING JR BOULEVARD,DR M L KING JR BOULEVARD,WEST  195 STREET,STRONG STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/11/2016 01:00:00 PM,08 BRONX,2032490092,BRONX,1012065,256583,UNKNOWN,Unspecified,BRONX,,,,,,,,40.8708917138821,-73.89942871413288,"(40.8708917138821, -73.89942871413288)"
32369800,01/08/2016 02:28:00 PM,01/08/2016 11:40:00 PM,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,,,,,,PROSPECT AVE,155 ST E,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/08/2016 11:40:00 PM,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,
32369801,01/08/2016 12:20:10 AM,,DOT,Department of Transportation,Street Condition,Wear & Tear,,10010,,,,,1 AVENUE,EAST 23 STREET,INTERSECTION,NEW YORK,,N/A,Pending,,The Department of Transportation inspected this complaint and repaired the problem.,01/08/2016 08:30:00 PM,06 MANHATTAN,,MANHATTAN,990209,207710,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7367906050123,-73.9784972859385,"(40.7367906050123, -73.9784972859385)"
32369802,01/08/2016 12:58:00 PM,01/08/2016 12:58:00 PM,DSNY,Queens East 12,Derelict Vehicles,14 Derelict Vehicles,Street,,,,,,SOUTH ROAD,156 STREET,INTERSECTION,,,N/A,Pending,,The Department of Sanitation removed the items.,01/08/2016 12:58:00 PM,12 QUEENS,,QUEENS,,,MOBILE,Unspecified,QUEENS,,,,,,,,,,
32369803,01/08/2016 11:43:00 AM,01/08/2016 12:25:00 PM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11367,144-02 JEWEL AVENUE,JEWEL AVENUE,MAIN ST,147 ST,,,ADDRESS,Flushing,,N/A,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/08/2016 12:25:00 PM,08 QUEENS,4066420002,QUEENS,1033283,205330,PHONE,Unspecified,QUEENS,,,,,,,,40.73012419232386,-73.82308477798603,"(40.73012419232386, -73.82308477798603)"
32369804,01/08/2016 06:15:00 AM,02/01/2016 10:25:00 AM,DEP,Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),,11385,62-59 FRESH POND ROAD,FRESH POND ROAD,METROPOLITAN AVE,BLEECKER ST,,,ADDRESS,Ridgewood,,N/A,Closed,,The Department of Environmental Protection has investigated this complaint and has performed repair work.,02/01/2016 10:25:00 AM,05 QUEENS,4036080023,QUEENS,1011835,198886,OTHER,Unspecified,QUEENS,,,,,,,,40.71252987116538,-73.90049729880981,"(40.71252987116538, -73.90049729880981)"
32369807,01/08/2016 09:36:00 AM,01/12/2016 01:15:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,2 45 ST W,45 ST W,5 AVE,AVE OF THE AMERICAS,45 ST W,AVE OF THE AMERICAS,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/12/2016 01:15:00 AM,Unspecified MANHATTAN,,MANHATTAN,,,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,,,
32369808,01/08/2016 07:06:00 PM,01/11/2016 12:40:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10469,2925 GUNTHER AVENUE,GUNTHER AVENUE,ADEE AVE,ARNOW AVE,GUNTHER AVENUE,ARNOW AVENUE,INTERSECTION,BRONX,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/11/2016 12:40:00 AM,12 BRONX,2047880023,BRONX,1028994,255851,UNKNOWN,Unspecified,BRONX,,,,,,,,40.86881301991602,-73.83822317037823,"(40.86881301991602, -73.83822317037823)"
32369809,01/08/2016 10:18:00 AM,01/09/2016 10:29:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,541 MONTEREY AVE,MONTEREY AVE,178 ST E,TREMONT AVE E,MONTEREY AVE,TREMONT AVE E,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,01/09/2016 10:29:00 AM,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,
32369810,01/08/2016 07:29:00 AM,01/12/2016 10:15:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10013,88 LEONARD STREET,LEONARD STREET,CHURCH ST,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/12/2016 10:15:00 AM,01 MANHATTAN,1001730027,MANHATTAN,982953,200558,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71716201883659,-74.00467877270118,"(40.71716201883659, -74.00467877270118)"
32369811,01/09/2016 12:47:54 AM,01/09/2016 04:25:49 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11416,,,,,86 STREET,102 ROAD,INTERSECTION,OZONE PARK,,Precinct,Closed,01/09/2016 08:47:54 AM,The Police Department responded to the complaint and took action to fix the condition.,01/09/2016 04:25:50 AM,09 QUEENS,,QUEENS,1025018,187331,PHONE,Unspecified,QUEENS,,,,,,,,40.680763204177765,-73.85301450763032,"(40.680763204177765, -73.85301450763032)"
32369812,01/08/2016 10:54:51 AM,01/11/2016 07:31:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,11355,137-08 PECK AVENUE,PECK AVENUE,137 STREET,BEND,,,ADDRESS,Flushing,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/11/2016 07:31:00 AM,07 QUEENS,4051300030,QUEENS,1032098,212518,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.74985991782429,-73.82730921876602,"(40.74985991782429, -73.82730921876602)"
32369813,01/08/2016 07:24:51 PM,01/12/2016 11:25:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10023,240 WEST   65 STREET,WEST   65 STREET,AMSTERDAM AVENUE,WEST END AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Transportation inspected this complaint and did not find the reported problem.,01/12/2016 11:25:00 PM,07 MANHATTAN,1011560020,MANHATTAN,987991,221572,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.77483948054298,-73.98649310039363,"(40.77483948054298, -73.98649310039363)"
32369814,01/08/2016 04:42:52 PM,01/12/2016 01:13:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10019,242 WEST   49 STREET,WEST   49 STREET,8 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Transportation inspected this complaint and did not find the reported problem.,01/12/2016 01:13:00 PM,05 MANHATTAN,1010200057,MANHATTAN,988310,216580,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.76113759562479,-73.98534436476754,"(40.76113759562479, -73.98534436476754)"
32369815,01/08/2016 11:57:00 AM,01/08/2016 02:00:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10312,19 STACK DRIVE,STACK DRIVE,RUSSEK DR,HAMMOCK LN,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,01/08/2016 02:00:00 PM,03 STATEN ISLAND,5060177505,STATEN ISLAND,929081,138867,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5476618644817,-74.19851092062326,"(40.5476618644817, -74.19851092062326)"
32369816,01/08/2016 11:22:00 AM,01/08/2016 01:30:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10306,18 1 STREET,1 STREET,NEW DORP LN,ROSE AVE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,01/08/2016 01:30:00 PM,02 STATEN ISLAND,5041910023,STATEN ISLAND,950857,148917,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.575355868882326,-74.120205551234,"(40.575355868882326, -74.120205551234)"
32369817,01/08/2016 07:50:00 PM,01/09/2016 02:00:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11434,140-22 161 STREET,161 STREET,140 AVE,N CONDUIT AVE,,,ADDRESS,Jamaica,,N/A,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.,01/09/2016 02:00:00 AM,12 QUEENS,4123160040,QUEENS,1046786,183430,PHONE,Unspecified,QUEENS,,,,,,,,40.66992885205939,-73.77456835109533,"(40.66992885205939, -73.77456835109533)"
32369818,01/08/2016 09:31:00 AM,01/08/2016 12:45:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10457,2244 BASSFORD AVENUE,BASSFORD AVENUE,E 182 ST,FLETCHER PL,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",01/08/2016 12:45:00 PM,06 BRONX,2030500096,BRONX,1013744,250416,PHONE,Unspecified,BRONX,,,,,,,,40.8539597225378,-73.89338506317955,"(40.8539597225378, -73.89338506317955)"
32369820,01/08/2016 09:13:00 AM,01/08/2016 10:45:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11692,69-37 ELIZABETH AVENUE,ELIZABETH AVENUE,BCH 69 ST,BCH 72 ST,,,ADDRESS,Arverne,,N/A,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",01/08/2016 10:45:00 AM,14 QUEENS,4160500012,QUEENS,1039942,156273,PHONE,Unspecified,QUEENS,,,,,,,,40.59543453980901,-73.79946382959464,"(40.59543453980901, -73.79946382959464)"
32369821,01/08/2016 02:13:04 PM,01/15/2016 03:18:50 PM,DOT,Department of Transportation,Street Sign - Damaged,Street Cleaning - ASP,Street,10002,85 HESTER STREET,HESTER STREET,ORCHARD STREET,ALLEN STREET,,,ADDRESS,NEW YORK,,N/A,Closed,07/06/2016 02:28:05 PM,The Department of Transportation has completed the request or corrected the condition.,01/15/2016 03:18:50 PM,03 MANHATTAN,1003080028,MANHATTAN,986602,200169,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71609408949065,-73.99151557664997,"(40.71609408949065, -73.99151557664997)"
32369822,01/08/2016 09:42:17 AM,01/15/2016 07:07:09 AM,DOT,Department of Transportation,Street Sign - Dangling,One Way,Street,11201,1 JOHN STREET,JOHN STREET,ADAMS STREET,PEARL STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/22/2016 05:43:24 AM,The Department of Transportation has completed the request or corrected the condition.,01/15/2016 07:07:09 AM,02 BROOKLYN,3000010001,BROOKLYN,987496,195932,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.704464247364164,-73.98829267278208,"(40.704464247364164, -73.98829267278208)"
32369823,01/08/2016 01:26:45 PM,01/08/2016 02:10:51 PM,DOT,Department of Transportation,Street Sign - Missing,Other/Unknown,Street,10022,EAST 55 STREET,EAST 55 STREET,MADISON AVENUE,PARK AVENUE,,,BLOCKFACE,NEW YORK,,N/A,Closed,01/22/2016 01:26:45 PM,The Department of Transportation has determined that this issue is not within its jurisdiction.,01/08/2016 02:10:51 PM,05 MANHATTAN,,MANHATTAN,991853,216411,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76067139711694,-73.97255516845654,"(40.76067139711694, -73.97255516845654)"
32369824,01/08/2016 08:29:00 AM,01/08/2016 10:00:00 AM,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),,11691,418 BEACH   43 STREET,BEACH   43 STREET,BEACH CHANNEL DR,DELMORE CT,,,ADDRESS,Far Rockaway,,N/A,Closed,,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,01/08/2016 10:00:00 AM,14 QUEENS,4159600014,QUEENS,1046767,156784,PHONE,Unspecified,QUEENS,,,,,,,,40.59679161341322,-73.7748836921693,"(40.59679161341322, -73.7748836921693)"
32369825,01/08/2016 02:54:00 PM,01/08/2016 10:15:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11210,,,E 23 ST,AVENUE I,EAST 23 STREET,AVENUE I,INTERSECTION,BROOKLYN,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/08/2016 10:15:00 PM,14 BROOKLYN,,BROOKLYN,997030,168237,PHONE,Unspecified,BROOKLYN,,,,,,,,40.628439012095384,-73.95395896131092,"(40.628439012095384, -73.95395896131092)"
32369826,01/08/2016 01:27:00 AM,01/09/2016 05:10:00 PM,DEP,Department of Environmental Protection,Water System,Other Water Problem (Use Comments) (WZZ),,11211,77 LEE AVENUE,LEE AVENUE,ROSS ST,RODNEY ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/09/2016 05:10:00 PM,01 BROOKLYN,3021880002,BROOKLYN,995433,196302,PHONE,Unspecified,BROOKLYN,,,,,,,,40.705473338920925,-73.95966573433536,"(40.705473338920925, -73.95966573433536)"
32369827,01/08/2016 12:11:00 PM,01/08/2016 12:11:00 PM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10033,701 WEST  175 STREET,WEST  175 STREET,BROADWAY,FT WASHINGTON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,01/08/2016 12:11:00 PM,12 MANHATTAN,1021420224,MANHATTAN,1001213,247595,PHONE,Unspecified,MANHATTAN,,,,,,,,40.84624988253467,-73.93868924989978,"(40.84624988253467, -73.93868924989978)"
32369828,01/08/2016 07:55:00 AM,01/14/2016 09:46:00 AM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11418,123-02 JAMAICA AVENUE,JAMAICA AVENUE,123 ST,124 ST,,,ADDRESS,Richmond Hill,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,01/14/2016 09:46:00 AM,09 QUEENS,4093320001,QUEENS,1032178,194602,PHONE,Unspecified,QUEENS,,,,,,,,40.70068451255617,-73.82714808106127,"(40.70068451255617, -73.82714808106127)"
32369829,01/08/2016 02:36:00 PM,01/21/2016 01:20:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Knocked Over/Missing (WC),,11237,146 STEWART AVENUE,STEWART AVENUE,MESEROLE ST,SCHOLES ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and made a repair.,01/21/2016 01:20:00 PM,01 BROOKLYN,3029640044,BROOKLYN,1004562,198337,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71104268376961,-73.92673360252041,"(40.71104268376961, -73.92673360252041)"
32369830,01/08/2016 03:29:00 PM,01/15/2016 10:50:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Knocked Over/Missing (WC),,10453,1514 SEDGEWICK AVENUE,SEDGEWICK AVENUE,CROSS BRONX EXPWY ET 1 D,W 176 ST,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/15/2016 10:50:00 AM,05 BRONX,2028800009,BRONX,1005011,247773,PHONE,Unspecified,BRONX,,,,,,,,40.846730326976626,-73.92496128467603,"(40.846730326976626, -73.92496128467603)"
32369831,01/08/2016 11:59:00 AM,01/12/2016 10:05:00 AM,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11101,47-40 21 STREET,21 STREET,,,,,ADDRESS,Long Island City,,N/A,Closed,,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,01/12/2016 10:05:00 AM,02 QUEENS,4000610011,QUEENS,998440,210286,PHONE,Unspecified,QUEENS,,,,,,,,40.74385170773534,-73.94879075928627,"(40.74385170773534, -73.94879075928627)"
32369832,01/08/2016 07:32:00 PM,01/09/2016 04:10:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10011,330 WEST   15 STREET,WEST   15 STREET,8 AVE,9 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/09/2016 04:10:00 AM,04 MANHATTAN,1007380057,MANHATTAN,982910,209470,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74162327427611,-74.00483566480153,"(40.74162327427611, -74.00483566480153)"
32369833,01/08/2016 05:19:00 PM,01/09/2016 10:30:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,10016,462 1 AVENUE,1 AVENUE,E 26 ST,E 27 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",01/09/2016 10:30:00 AM,06 MANHATTAN,1009620100,MANHATTAN,990662,208578,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73917273315613,-73.97686183383487,"(40.73917273315613, -73.97686183383487)"
32369834,01/08/2016 07:02:00 AM,01/08/2016 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11233,163 SUMPTER STREET,SUMPTER STREET,HOWARD AVE,SARATOGA AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,01/08/2016 09:30:00 AM,03 BROOKLYN,3015190169,BROOKLYN,1006730,187072,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68011764450318,-73.91895111844362,"(40.68011764450318, -73.91895111844362)"
32369835,01/08/2016 03:09:00 PM,01/08/2016 03:09:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11234,2225 EAST   69 STREET,EAST   69 STREET,AVENUE V,AVENUE W,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,01/08/2016 03:09:00 PM,18 BROOKLYN,3084380029,BROOKLYN,1010206,163981,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61672838065617,-73.90650769023384,"(40.61672838065617, -73.90650769023384)"
32369839,01/08/2016 09:43:00 AM,01/08/2016 03:19:00 PM,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),,11228,8638 15 AVENUE,15 AVENUE,86 ST,BENSON AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,01/08/2016 03:19:00 PM,11 BROOKLYN,3063590054,BROOKLYN,981414,161787,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61074386885628,-74.01021422298581,"(40.61074386885628, -74.01021422298581)"
